Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20260309,,17560.44,,,,,WITHDRAWAL
$$CASH_TX,,,,,,,,,20260331,,21324.48,,,,,WITHDRAWAL
$$CASH_TX,,,,,,,,,20260331,,10293.13,,,,,WITHDRAWAL
$$CASH_TX,,,,,,,,,20260227,,121974.54,,,,,DEPOSIT
EWW.MX,1328.0,2026/05/04,13:26 CST,0.0,1334.5,1328.0,1328.0,45,,,,,,,,
GBMF2A.MX,1.252746,2026/05/05,11:53 CST,-1.25411,,,,,20260227,1.08,50000.0,,,,,BUY
VOO.MX,11580.0,2026/05/05,13:12 CST,24.360352,11589.91,11589.91,11541.02,2694,20260331,10662.24,2.0,,,,,BUY
VOO.MX,11580.0,2026/05/05,13:12 CST,24.360352,11589.91,11589.91,11541.02,2694,20260227,10838.96,3.0,,,,,BUY
V.MX,5600.0,2026/05/05,13:11 CST,-122.009766,5599.99,5600.0,5571.98,372,,,,,,,,
MA.MX,8613.0,2026/05/05,12:40 CST,-212.0,8735.0,8735.0,8590.0,292,,,,,,,,
AXP.MX,5478.4,2026/05/05,12:02 CST,-111.60986,5478.0,5478.4,5478.0,102,,,,,,,,
CRM.MX,3260.0,2026/05/05,12:22 CST,10.0,3230.0,3260.0,3204.01,133,,,,,,,,
QQQ.MX,11857.0,2026/05/05,13:10 CST,92.0,11800.0,11862.94,11800.0,2302,20260331,10293.13,1.0,,,,,BUY
QQQ.MX,11857.0,2026/05/05,13:10 CST,92.0,11800.0,11862.94,11800.0,2302,20260327,10275.37,1.0,,,,,BUY
QQQ.MX,11857.0,2026/05/05,13:10 CST,92.0,11800.0,11862.94,11800.0,2302,20260227,10449.86,2.0,,,,,BUY
NVDA.MX,3411.95,2026/05/05,13:18 CST,-69.05005,3480.0,3484.99,3403.67,39360,,,,,,,,
MELIN.MX,31500.0,2026/05/05,12:50 CST,-570.0,31606.41,31606.41,31292.14,180,,,,,,,,
WALMEX.MX,55.81,2026/05/05,13:21 CST,1.8199997,53.95,56.01,53.95,9307915,,,,,,,,
PINFRA.MX,292.78,2026/05/05,13:21 CST,7.529999,284.0,293.92,284.0,236967,,,,,,,,
BRKB.MX,8100.0,2026/05/05,12:56 CST,-95.0,8151.0,8151.0,8089.0,359,20260309,8763.61,2.0,,,,,BUY
NAFTRACISHRS.MX,68.44,2026/05/05,13:21 CST,1.4200058,67.03,68.53,67.03,1453764,,,,,,,,
SPY.MX,12590.0,2026/05/05,13:15 CST,18.0,12590.0,12600.14,12560.0,352,,,,,,,,
MSFT.MX,7174.6,2026/05/05,13:20 CST,-57.350098,7217.0,7217.0,7103.0,9961,,,,,,,,
AAPL.MX,4938.0,2026/05/05,13:21 CST,82.08008,4831.64,4941.53,4827.0,14699,,,,,,,,
NFLX.MX,1523.2,2026/05/05,13:14 CST,-72.43005,1590.0,1590.0,1521.92,33041,,,,,,,,
